,paragraph
133,designated management objective FAO FRA definition is that of conservation Specifically those forests where the management objectives are conservation of biodiversity or social services based on the FAO FRA definitions Box 1
134,c Nationwide general management objectives established in national legislation or policies such as eg all forest land should be managed for production conservation and social purposes should not be considered as management objectives in this context
135,Due to changes in practices in the category afforestation and reforestation which changes from practices connected with newly established forest to first tending operations it is proposed to transfer these two categories to the NACE category existing forest management or conservation forestry depending on the objective of the management after the 20 years period following the EU LULUCF
136,accounting rule of 20 years Similarly if there is largescale harvesting the NACE category will move from existing forest management to that of reforestation Within the EU reforestation after harvesting is a requirement yet this is not the situation globally The Taxonomy adds value in this way in the global context Conservation forests may arise in a variety of forms such as designation or voluntary conservation and may be considered similar to the existing forest management NACE in the context of the Taxonomy The relationship with the other forest NACE is as follows Where conservation ceases to be the primary objective of the management of the stand the NACE will move to existing forest management Where there is a significant loss of forest for example fire or storm damage the NACE activity for ensuring substantial contribution to mitigation will become reforestation or  rehabilitationrestoration until 20 years at which point the NACE will become conservation forest again or existing forest management  depending on the objective of the forest management at that time
137,Harvesting practices such as thinning removals final fellings etc will temporarily reduce the carbon stock and the potential to sequester carbon However such forest management activities should be eligible under Taxonomy as long as SFM practices are in place and that carbon sinks of above and below ground carbon are maintained or increased over the rotation period of the forest or where selective removal of trees is required as part of the forest conservation plan The rotation period is here defined as the time from seeding planting or natural regeneration through to the point of harvest
138,Selected criteria build on existing EU legislation eg the Renewable Energy Directive and its recast EU LULUCF EU Nature Directives EU FLEGT EU Timber Regulation etc national forest legislation international standards and best practices and international processes such as the Ministerial Conference on the Protection of Forests in Europe Forest Europe The Taxonomy recognizes that although the EU has a variety of forestrelated policies the Treaty on the Functioning of the European Union makes no reference to specific provisions for an EU forest policy and that the responsibility for forests lies with the Member States within a defined framework of established ownership rights which include a long history of longterm planning in national and regional regulations
139,The Taxonomy sets out the following three qualitative and quantitative mitigation criteria to ensure sustainable management of forest areas a measured baseline for progress towards substantial mitigation and demonstration that this mitigation is cumulative increasing andor maintained in the case of existing forest management and permanent All three criteria are required to demonstrate sustainable and substantial mitigation Specifically they are
140,1 Criterion 1 Compliance with Sustainable Forest Management SFM requirements in order to ensure forest carbon stocks are retained whilst supporting forest ecosystems and forest services SFM is defined as the stewardship and use of forests and forest lands in a way and at a rate that maintains their biodiversity productivity regeneration capacity vitality and their potential to fulfil now and in the future relevant ecological economic and social functions at local national and global levels and that does not cause damage to other ecosystems33 The SFM requirements set in the Taxonomy are mandatory but allow flexibility for the adoption of
141,approaches that are regionally appropriate providing that they are justified and apply internationally provided they can be verified via independent thirdparty schemes that are regularly audited or under international agreements This will allow investors and forest management companies to verify compliance with the criteria in Europe and globally 34 The practices set out in Annex F2 represent a nonexhaustive list of activities that would if implemented effectively lead to the achievement of the objectives of the Taxonomy in the context of maintain and increase carbon stocks and conservation of nonproductive functions The aim of the list is to provide support to operators and investors as to the types of practice that should be implemented Recognising the different conditions and characteristics of regions and forests another practice could be applied and can be demonstrated exante as leading to the same outcome
142,Criterion 1 differs in the context of conservation forests as a result of those forests having a defined conservation objective and where timber production is not the primary objective The Taxonomy recognises that its initial goal is to deliver substantial mitigation and thus for conservation forests focusses on the maintenance of the forest carbon sink A forest conservation plan is required in order to ensure that substantial mitigation is delivered in this case maintenance and increase of carbon sinks in line with wider conservation objectives This differs from the requirements under the other forest NACE in that there may be zero intervention requirements andor requires only those management activities listed under Category C in Annex F2 Any necessary harvesting for example diseased trees should be carried out in line with the conservation plan
143,curves in order to demonstrate that the forest carbon sink continues to increase and GHG emissions from the forest sectors decrease This criterion implicitly considers all forest carbon pools above and belowground but recognises the challenges of belowground carbon measurement Therefore the specific criteria used in the fiches focuses on the measurement of aboveground carbon pools only
144,and 2 as reported through a forest management plan or equivalent instruments at 10year intervals to be subsequently reviewed by an independent thirdparty certifier andor competent authorities Carbon stocks shall increase above the carbon baseline over a period of 20 years for afforestation and reforestation projects and shall increase over the rotation period for restoration projects and be maintained or increased in the case of existing forest management and conservation forests
145,Progress in the forest carbon inventory and evolution of the forest increment is required relative to a verified baseline over the rotation period of the forest which reflects and adapts to the industrys levels of maturity climate conditions location features and market structures The Taxonomy recognises the commercial function of forests and the importance of enabling a sustainable finance market in those
146,34 FSCPEFC estimate that about 54 of forests globally are productive andor used for multiple purposes of which 20 are certified by FSC and PEFC See Data about Share Forest Certification FSCPEFC in Forest Management John Hontelez FSC International 30 April 2019
147,forests Therefore a pragmatic view has been taken to the performance period which differs between forest NACE codes as set out in Criterion 3 above For afforestation and reforestation it is recognised that there will be a measurable increase in carbon stock as the forest stand develops and trees grow For existing forest management and restorationrehabilitation the forest will include stands at varying stages of maturity within the context of an established forest From a substantial mitigation perspective the view is taken that the maintenance of the carbon stock of the forest is important and recognises that beyond a point carbon stocks may reach a saturation point in the aboveground biomass Respecting the commercial function of many forests forests may be harvested before reaching full maturity or saturation However providing the harvesting follows SFM practices and remains below the level of netannual increment the overall forest carbon sink is expected to remain stable or increase over time
148,In practical terms for existing forest management and for rehabilitationrestoration of forests the forest owner will be required to define the rotation period of a given forest whether at the stand level or landscape level In order to comply with criterion 2 and 3 the forest owner will need to demonstrate relative to the rotation period that carbon stocks have been maintained against baseline or increased from baseline Importantly the performancedemonstration period is linked to the rotation period but supported through 10year reporting periods in order to show direction of travel ie that carbon stocks are being maintained or increasing In the event of force majeure such as the loss of a forest stand from fire or windthrow the existing forest management NACE will move to the restoration NACE and performance will be judged on the basis of the reestablishment of the forest stand and thus carbon stock development over a period of 20years
149,Measurement and reporting shall not result in significant burden to smallscale operators that may benefit from private investment as the Taxonomy builds on EU legislation and existing national frameworks and recognises the applicability of different scales of reporting through existing approaches to verification and assessment that apply above the individual holding level These include approaches adopted at the national or subnationalregional level sourcingarea level multiple holdings or individual holding level The Taxonomy does not specify which reporting framework is used and thus allows flexibility to adapt to the national context providing that the compliance with criteria and thresholds can be assessed for the holding level as appropriate for the investment
150,Mitigation activities in the forest Taxonomy focus on the maintenance and increase of the forest carbon sink whilst reducing and avoiding the GHG emissions from activities Primary producing sectors such as forestry are particularly vulnerable to climaterelated changes and shocks eg changing weather patterns heatwaves etc Adaptation of forests is therefore essential if the carbon sinks are to be maintained the stocks increased Adaptation requirements should be framed so as to promote synergies with substantial mitigation where possible and as a minimum lead to no significant harm
151,The text of the proposed Taxonomy Regulation Article 12a For the purposes of Article 3b an economic activity shall be considered as significantly harming a climate change mitigation where that activity leads to significant greenhouse gas emissions
152,Forests are an unusual economic sector in which they provide a substantial carbon sink and that significant harm for forest climate change mitigation include where an adaptation activity leads to a significant longterm reduction of the carbon sink It is therefore important to maintain the forest area and
153,Energy Directive EU20182001 which determines the requirement for management systems to be in place at forest sourcing area level to ensure that carbon stocks and sinks levels in the forest are maintained or strengthened over the long term35
154,Approximately 430000 enterprises are active in woodbased industries across the EU representing 20 of EU manufacturing enterprises and 75 of the gross valueadded of the manufacturing industry in Europe36 The wood industry provides around 35 million jobs in the EU37 Around 60 of EU forests are privately owned of which 23 have holdings of less than 3 hectares 38 many times fragmented into smaller plots The structure of private forest ownership is specific and considerable variations exist from country to country with properties sizes ranging from 05 hectares to more than 10000 hectares while the average size is around 13 hectares Forest owners and managers with similar forest characteristics under similar climate conditions and jurisdictions are expected to be equally impacted
155,Forestry operations that are FSC and PEFC certified are likely to meet the SFM and Do No Significant Harm criteria of the forest Taxonomy with the exception of the Conversion criteria This equates to 615 of total productive forests in the EU39 and around 20 of productive forests globally40 Other forestsforest
156,35 Article 29 of the recast RED sets out sustainability criteria for forests to ensure that carbon stocks and sinks levels in the forest are maintained or strengthened over the long term This is explicitly defined in Article 297b which requires management systems are in place at forest sourcing area level to ensure that carbon stocks and sinks levels in the forest are maintained or strengthened over the long term This places the emphasis of the no significant harm requirement at a level more appropriate for the operation of the Taxonomy andor investment rather than relying on national level requirements
157,projects ie noncertified may also meet the criteria but it is not possible to estimate this part of the market with certainty Whilst FSC and PEFC may satisfy Criterion 1 ex Conversion criteria and the DNSH criteria verification of compliance with all three of the Taxonomy criteria will be required including carbon measurement and performance
158,Progress and performance in relation to aboveground carbon sequestration is measured relative to the verified baseline therefore any forest ownermanager is offered the opportunity to progress in accordance with its specific constrains and maturity level It is unclear what proportion of the market already implements carbon sequestration measurements against a verified baseline but examples of specific company progress assessments are available to demonstrate proof of concept
159,From a reporting perspective the Taxonomy builds on EU legislation and national frameworks The Taxonomy allows for performancerelated information to either be reported and disclosed by the forest ownerforest management company directly or through existing integrated reporting mechanisms in place at the level of the jurisdiction whether this is at the sourcing area level multiple holdings regional or national level The Taxonomy recognises the importance of landscape scale approaches ie multiple forest stands in how the forest carbon inventory and evolution of the forest sink increment is managed and the economic lifetime of forest operations within which the carbon stock may rise and fall within an overall upward trajectory The current bestperformers are expected to be able to comply with the Taxonomy criteria through their existing reporting and management requirements It is also recognised that some will need more time and thus the Taxonomy provides an incentive to improve performance within the global forest sector
160,The following issues have not been addressed in this version of the forest Taxonomy criteria However they may provide additional mitigation opportunities for the sector and therefore merit consideration by the Platform on Sustainable Finance
161,The forest Taxonomy sets out criteria and thresholds for forest management activities that apply up to the forest gate irrespective of the enduse of the forest products This is for the pragmatic reason that many forest managers and owners do not know in which supply chains their products will arise In principle however the Taxonomy recognises the holistic mitigation potential of forests and wood beyond the forest gate both through the effect of substitution replacing more GHG intensive materials and through the longterm carbon sink potential of wood products Furthermore the forest Taxonomy deals with the production and supply of forest biomass but not the demand or end use of that biomass The relationship between the end use of biomass and its production ie market pull is an important component of the overall sustainable finance Taxonomy to consider when incentivising different NACE sectors towards substantial contribution to mitigation At present climate benefits beyond the forest gate are expected to be captured through the constructionbuilding energy and manufacturing sector Taxonomies and thus create an incentive for the use of wood in the economy and thus the management of forests in compliance with the Taxonomy The Platform should therefore improve the holistic consideration of forests and forest products mitigation potential across their entire value chains and across all sectors of the economy including end of life The following recommendations are made in the context of other NACE sectors
162,buildings and construction activities utilising wood These thresholds should be based on a wide and consistent set of data able to benchmark best practice across different building uses and typologies ie houses flats offices etc In parallel the methodology to be used to assess embodied emissions should be defined in detail on the basis of widelyaccepted LCA and CENTC350 standards with particular care to ensure that the beneficial impact of carbon sequestration in timber products sourced from sustainablymanaged forests is adequately recognised This should include the end of life of wood and construction timber
163,mitigation benefits and should be considered with priority for construction as a criteria for substantial contribution to mitigation This would aid in incentivising the use of wood within the economy and for the longterm sequestration of carbon in timber products In the current proposals
164,o The manufacturing Taxonomy should systematically consider the substitution potential of wood as a manufacturing material Progress has been made in this regard under current NACE 47 Manufacture of other organic base chemicals This approach is welcomed and should be expanded across other manufacturing NACE sectors Specifically it is suggested that the manufacturing Taxonomy includes NACE C16 Manufacture of wood and of products of wood and cork except furniture manufacture of articles of straw and plaiting materials and C31 Manufacture of furniture and develop robust and verifiable substitution criteria to ensure substantial mitigation and DNSH criteria see above proposal for buildings
165,the forest during the lifetime of a forest project or activity For example the Taxonomy does not account for fuel use by machinery within the forest sector which is currently accounted for in the energy and transport sectors
166, GHG measurement is required for aboveground carbon sequestration on the basis that below ground carbon is technically more challenging to assess and measure overtime Instead below ground carbon shall be maintained andor increased through a proxy ie the application of management practices reflected through cumulative Sustainable Forest Management and Do No Significant Harm requirements The Platform is advised to further explore belowground carbon measurements and review existing impact assessment methodologies that might complement the current threshold for belowground carbon measurements It is further suggested that the Platform consider the approach to soilcarbon in the agriculture Taxonomy and whether there should be alignment also for the forest Taxonomy
167,It is the view of the TEG that these criteria are relevant internationally provided compliance with the criteria can be informed by providing evidence for meeting compliance or applying verification approaches such as forest certification using independent thirdparty schemes that are regularly audited It is recommended that the Platform further develops guidance including a more granular mapping of the Taxonomy criteria and thresholds with existing internationally recognised and applicable forest certification schemes This would provide support to investors and forest management companies and individuals when seeking compliance with the Taxonomy
168,In the context of interlinkages between Taxonomy sectors the impact of deforestation is often a result of othersector activities such as agriculture or building development rather than forestry The Platform are invited to consider whether deforestation is sufficiently addressed in other Taxonomy sectors in order to support substantial contribution in the forest sector and as a DNSH to mitigation in the forest sector as enabled through other Taxonomy sectors
169,The Platform should further explore potential enduser issues and opportunities for investors and financial institutions including potential challenges that may arise in relation to associating capital expenditures or revenues that can be tagged or screened through the current criteria set for forest managementland use activities For example an investor may invest in a wood processing facility which itself is not covered by the current forest Taxonomy sectors but the operation of the facility will interact with the management of forests and the use of forest products Clarity should be provided to investors on where and at what point in the valuesupply chain they are expected to consider compliance with the Taxonomy  specifically for sectors upstream or downstream of the specific investment
170,existing forest management NACE With the proposed Taxonomy for existing forest management a pragmatic view has been taken to align performance with the commercial rotation period of a forest  ie allowing for changes in carbon stock within a forest and providing flexibility given that different forests will be harvested at different periods This implicitly recognises that the forest will remain forest and when managed under SFM continue to sequester carbon Importantly this means that the forest may be harvested at a commercial point determined by wood quality and quantity and not at a point where the forest has reached a carbon stock saturation point  which may be considerably longer The Platform is therefore asked to consider if it is sufficient to have additionality provided through SFM and DNSH but that for existing forest management substantial contribution can be judged as the maintenance of the forest carbon stock rather than its increase Whilst the focus of this Taxonomy is on greening of activities it may be relevant to consider the end use of the forest biomass when reflecting on this point  in that around
171,Afforestation is defined as the establishment of forest through planting andor deliberate seeding on land that until then was under a different land use implies a transformation of land use from nonforest to forest41
172,Identify and apply forest management practices that increase existing carbon stocks considering the nonexhaustive list of examples practices in the Annex F2 however allowing for application of other similar approaches that recognise local specificities and conditions while maintaining or improving soil quality and biodiversity
173,requirements is demonstrated and disclosed at 10year intervals through a forest management plan or equivalent that shall be reviewed by an independent thirdparty certifier andor competent authorities as described in Criteria 3
174,Verified GHG balance baseline43 is calculated for aboveground carbon pools based on growthyield curves for species per m3yearha carbon convertible Calculating the GHG balance baseline requires knowledge of the area the species and number of trees in case of afforestation and reforestation Using the growthyield curves information will be given on the annual increment in m3yearha which can be used for the basis of the GHG balance The methodology is consistent with the approach in the Revised 1996 IPCC Guidelines for National Greenhouse Gas Inventories IPCC Guidelines it recommends recalculation of the amount of carbon sequestered 1 ton of biomass representing approximately 05 ton of carbon Further one ton of carbon equals 4412  367 tons of carbon dioxide
175,a period of 20 years44 Changes in carbon stocks should be disclosed based on growth yield curves in 10 year intervals through a forest management plan or equivalent instrument45 that shall be reviewed by an independent thirdparty certifier andor competent authorities as described in Criteria 346
176,43 Calculating the GHG balance baseline requires knowledge of the area the species and number of trees in case of planting The increment based on the growthyield curves gives the approximate number of how many m3yearha is available for increment The methodology is consistent with the approach in the Revised 1996 IPCC Guidelines for National Greenhouse Gas Inventories it recommends recalculation of the amount of carbon sequestered 1 ton of biomass representing approximately 05 ton of carbon Further one ton of carbon equals 4412  367 tons of carbon dioxide
177,45 Landscape management level may be used to emphasize that the goal may be to perform at a scale above the single forest stand Absence of landscape management access will in turn require disclosure at the single forest stand The Forest Taxonomy leaves to forest owners and companies to explain document on which level they report
178,46 This threshold should apply considering the following force majeure clause underperformance resulting from natural disturbance can be excluded from impacting on the achievement of the thresholds and will not result in noncompliance with the Taxonomy criteria
179,play an integral part in the carbon cycle support livelihoods and can help drive sustainable growth EU forests already account for more than 20 of the global forest carbon sink and yet an increase in carbon sequestration from forests is essential to the achievement of a netzero target by 2050 in Europe and globally48
180,Forests can deliver substantial greenhouse gas GHG emission mitigation through sequestration of carbon during tree growth and in the accumulation of biomass in soils vegetation leaf litter and dead wood up to forest gate
181,The approach taken to determine metrics and thresholds rely on cumulative criteria Selected criteria build on existing EU legislation and the Taxonomy recognizes that although the EU has a variety of forestrelated policies the Treaty on the Functioning of the European Union makes no reference to specific provisions for an EU forest policy and that the responsibility for forests lies with the Member States within a defined framework of established ownership rights which include a long history of long term planning in national and regional regulations
182,The Taxonomy sets out the following three qualitative and quantitative mitigation criteria to ensure sustainable management of forest areas a measured baseline for progress towards substantial mitigation and demonstration that this mitigation is cumulative increasing and permanent All three criteria are required to demonstrate sustainable and substantial mitigation Specifically they are
183,1 Criterion 1 Compliance with Sustainable Forest Management SFM requirements in order to ensure forest carbon stocks are retained whilst supporting forest ecosystems and forest services SFM is defined as the stewardship and use of forests and forest lands in a way and at a rate that maintains their biodiversity productivity regeneration capacity vitality and their potential to fulfil now and in the future relevant ecological economic and social functions at local national and global levels and that does not cause damage to other ecosystems49 The SFM requirements set in the Taxonomy are mandatory but allow flexibility for the adoption of approaches that are regionally appropriate providing that they are justified and apply internationally provided they can be verified via independent thirdparty schemes that are regularly audited or under international agreements This will allow investors forest
184,To help with application of the criteria the Forest mitigation Taxonomy provides in Annex F2 a nonexhaustive list of activities that would if implemented effectively lead to the achievement of the objectives of the Taxonomy in the context of maintain and increase carbon stocks and conservation of nonproductive functions The aim of the list is to provide support to operators and investors as to the types of practice that should be implemented Recognising the different conditions and characteristics of regions and forests another practice could be applied and can be demonstrated exante as leading to the same outcome
185,2 Criterion 2 The establishment of a verified GHG balance baseline based on growth yield curves in order to demonstrate that the forest carbon sink continues to increase and GHG emissions from the forest sectors decrease This criterion implicitly considers all forest carbon pools above and belowground as identified in LULUCF regulation Annex I section B Specifically a aboveground biomass b belowground biomass c litter d dead wood e soil organic carbon with the exclusion of f harvested wood products in the land accounting categories of afforested land and managed forest land which is beyond the scope of this Taxonomy However it recognises the challenges of belowground carbon measurement Therefore the specific criteria used in the fiches focuses on the measurement of aboveground carbon pools only
186,The forest Taxonomy acknowledges that setting a universal absolute threshold for carbon stocks is not a viable option given the variability of carbon sequestration is highly context specific The Taxonomy therefore requires evidence of a positive direction of travel in terms of
187,50 FSCPEFC estimate that about 54 of forests globally are productive andor used for multiple purposes of which 20 are certified by FSC and PEFC See Data about Share Forest Certification FSCPEFC in Forest Management John Hontelez FSC International 30 April 2019
188,number of trees in case of afforestation and reforestation Using the growthyield curves information will be given on the annual increment in m3yearha which can be used for the basis of the GHG balance The methodology is consistent with the approach in the Revised 1996 IPCC Guidelines for National Greenhouse Gas Inventories IPCC Guidelines it recommends recalculation of the amount of carbon sequestered 1 ton of biomass representing approximately 05 ton of carbon Further one ton of carbon equals 4412  367 tons of carbon dioxide
189,1 and 2 as reported through a forest management plan or equivalent instruments at 10year intervals to be subsequently reviewed by an independent thirdparty certifier andor competent authorities Carbon stocks shall increase above the carbon baseline over a period of 20 years for afforestation projects  In order for forests to achieve their full climate mitigation potential it is essential the Taxonomy accounts for both a continuum of sustainable forest management practices and the demonstration that the carbon stocks increment includes the impact from living aboveground biomass specifically in the case of afforestation and reforestation projects
190,demonstrated after 20 years of the afforestationreforestation project This aligns with the measurement of carbon and under LULUCF regulation where land that was afforested moves from category afforestation to forest land after 20 years A 20year period for maintaining carbon sinks and activities also follows the IPCC time frame of 20 years to saturation for soil carbon
191,may benefit from private investment as the taxonomy builds on EU legislation and national frameworks and recognises the applicability of different scales of reporting through existing approaches to verification and assessment that apply above the individual holding level These include approaches adopted at the national or subnationalregional level sourcingarea level multiple holdings or individual holding level The Taxonomy does not specify which reporting framework is used and thus allows flexibility to adapt to the national context providing that the compliance with criteria and thresholds can be assessed for the holding level as appropriate for the investment
192,It is the view of the TEG that the proposed criteria are relevant internationally provided compliance with the criteria can be informed by providing evidence for meeting compliance or applying verification approaches such as forest certification using independent thirdparty schemes that are regularly
193,audited Forestry operations that are FSC and PEFC certified are likely to meet the SFM and Do No Significant Harm criteria of the forest Taxonomy with the exception of the Conversion criteria that varies across jurisdictions and forestry activities This equates to 615 of total productive forests in the EU51 and around 20 of productive forests globally52 Other forestsforest projects ie non certified may also meet the criteria but it is not possible to estimate this part of the market with certainty Note whilst FSC and PEFC may satisfy Criterion 1 ex Conversion criteria and the DNSH criteria verification of compliance with all three of the Taxonomy criteria will be required including carbon measurement and performance
194,In order to ensure compliance with the criteria set out in the Taxonomy it is appropriate to consider alignment with existing EU legislative instruments and established agreements The proposed criteria and DNSH requirements align with existing EU legislation in the context of forestry It is important to recognise where legislation provides safeguards to ensure no harm to an objective and where legislation allows for more substantial contribution to those objectives For example Article 29 of the recast RED sets out sustainability criteria for forests using a riskbased approach to minimise the risk of using forest biomass derived from unsustainable production relaying in Article 296 on national or subnational laws or if such evidence is not available on supply level and in Article 297 referring to the Paris agreement or if such evidence is not available it refers to management systems in place at forest sourcing area level to ensure that carbon stocks and sinks levels in the forest are maintained or strengthened over the long term These aims are to an extent consistent with that the criteria proposed in the Taxonomy and some of the DNSH criteria Where the existing recast RED differs is that Article 29 does not require an explicit substantial contribution to GHG mitigation Furthermore the compliance mechanism by which the RED seeks to ensure that these aims are achieved is riskbased however through a verification process A riskbased approach assumes that if national laws or management systems are in place that the RED criteria are addressed The Taxonomy seeks to establish specific and measurable criteria metrics and thresholds by which substantial mitigation can be assessed at the project level or at the level of the forest holding
195,The DNSH criteria below should be considered in combination with the SFM requirements of the forest mitigation Taxonomy criterion 1 The criteria can be informed by applying forest certification using independent thirdparty schemes that are regularly audited Compliance shall be reported through a forest management plan or equivalent as per criterion 3 of the forest mitigation Taxonomy
196,Identify and manage risks related to water quality andor water consumption at the appropriate level Ensure that water useconservation management plans developed in consultation with relevant stakeholders have been developed and implemented
197,techniques such as nonchemical alternatives to pesticides in line with the Directive 2009128EC on the sustainable use of pesticides With exception of occasions that this is needed to control pest and diseases outbreaks Adapt the use of fertilizers to what is needed to prevent leeching of nutrients to waters
198,ingredients that are listed in the Stockholm Convention the Rotterdam Convention the Montreal Protocol on Substances that Deplete the Ozone Layer or that are listed as classification Ia or Ib in the WHO recommended Classification of Pesticides by Hazard
199,No conversion of habitats specifically sensitive to biodiversity loss or of high conservation value such as grasslands and any high carbon stock area eg peat lands and wetlands and areas set aside for the restoration of such habitats in line with national legislation
200,trees that adequately provide the necessary resilience to climate change natural disasters and the biotic pedologic and hydrologic condition of the area concerned as well as the potential invasive character of the species under local conditions current and projected climate change
201,Identify and apply forest management practices that increase existing carbon stocks  considering the nonexhaustive list of examples practices in the Annex F2 however allowing for application of other similar approaches that recognise local specificities and conditions while maintaining or improving soil quality and biodiversity
202,Forest Management requirements and increase of carbon from above and belowground carbon over time supported by and disclosed through a forest management plan or equivalent at 10 year intervals that shall be reviewed by an independent thirdparty certifier andor competent authorities
203,SFM requirements is demonstrated and continuously disclosed at 10 year intervals through a forest management plan or equivalent instrument that shall be reviewed by an independent thirdparty certifier andor competent authorities as described in Criteria 3
204,carbon pools based on growthyield curves for species per m3yearha carbon convertible Calculating the GHG balance baseline requires knowledge of the area the species and number of trees in case of afforestation and reforestation Using the growth yield curves information will be given on the annual increment in m3yearha which can be used for the basis of the GHG balance The methodology is consistent with the approach in the Revised 1996 IPCC Guidelines for National Greenhouse Gas Inventories IPCC Guidelines it recommends recalculation of the amount of carbon sequestered 1 ton of biomass representing approximately 05 ton of carbon Further one ton of carbon equals 4412  367 tons of carbon dioxide
205,over the rotation period of the forest58 Changes in carbon stocks should be disclosed based on growth yield curves in 10 year intervals through a forest management plan or equivalent instrument59 that shall be reviewed by an independent thirdparty certifier andor competent authorities as described in Criteria 360
206,57 Calculating the GHG balance baseline requires knowledge of the area the species and number of trees in case of planting The increment based on the growthyield curves gives the approximate number of how many m3yearha is available for increment The methodology is consistent with the approach in the Revised 1996 IPCC Guidelines for National Greenhouse Gas Inventories it recommends recalculation of the amount of carbon sequestered 1 ton of biomass representing approximately 05 ton of carbon Further one ton of carbon equals 4412  367 tons of carbon dioxide
207,59 Landscape management level may be used to emphasize that the goal may be to perform at a scale above the single forest stand Absence of landscape management access will in turn require disclosure at the single forest stand The Forest Taxonomy leaves to forest owners and companies to explain document on which level they report
208,60 This threshold should apply considering the following force majeure clause underperformance resulting from natural disturbance can be excluded from impacting on the achievement of the thresholds and will not result in noncompliance with the Taxonomy criteria
209,Forests cover around 30 of the global landmass In Europe this figure is higher at 4045 and absorb roughly 2 billion tons of carbon dioxide each year61 Forests regulate ecosystems protect biodiversity play an integral part in the carbon cycle support livelihoods and can help drive sustainable growth EU forests already account for more than 20 of the global forest carbon sink and yet an increase in carbon sequestration from forests is essential to the achievement of a netzero target by 2050 in Europe and globally62
210,Forests can deliver substantial greenhouse gas GHG emission mitigation through sequestration of carbon during tree growth and in the accumulation of biomass in soils vegetation leaf litter and dead wood up to forest gate
211,The Taxonomy acknowledges a definitional change from afforestation and reforestation to existing forest management and rehabilitation according to the LULUCF Regulations 20year accounting rule as per Art 53
212,The approach taken to determine metrics and thresholds rely on cumulative criteria Selected criteria build on existing EU legislation and the Taxonomy recognizes that although the EU has a variety of forestrelated policies the Treaty on the Functioning of the European Union makes no reference to specific provisions for an EU forest policy and that the responsibility for forests lies with the Member States within a defined framework of established ownership rights which include a long history of long term planning in national and regional regulations
213,The Taxonomy sets out the following three qualitative and quantitative mitigation criteria to ensure sustainable management of forest areas a measured baseline for progress towards substantial mitigation and demonstration that this mitigation is cumulative increasing and permanent All three criteria are required to demonstrate sustainable and substantial mitigation Specifically they are
214,1 Criterion 1 Compliance with Sustainable Forest Management SFM requirements in order to ensure forest carbon stocks are retained whilst supporting forest ecosystems and forest services SFM is defined as the stewardship and use of forests and forest lands in a way and at a rate that maintains their biodiversity productivity regeneration capacity vitality and their potential to fulfil now and in the future relevant ecological economic and social functions at local national and global levels and that does not cause damage to other ecosystems63 The SFM requirements set in the Taxonomy are mandatory but allow flexibility for the adoption of approaches that are regionally appropriate providing that they are justified
215,and apply internationally provided they can be verified via independent thirdparty schemes that are regularly audited or under international agreements This will allow investors forest owners buyers of timber andor residues and forest management companies to verify compliance with the criteria in Europe and globally64
216,To help with application of the criteria the Forest mitigation Taxonomy provides in Annex F2 a nonexhaustive list of activities that would if implemented effectively lead to the achievement of the objectives of the Taxonomy in the context of maintain and increase carbon stocks and conservation of nonproductive functions The aim of the list is to provide support to operators and investors as to the types of practice that should be implemented Recognising the different conditions and characteristics of regions and forests another practice could be applied and can be demonstrated exante as leading to the same outcome
217,curves in order to demonstrate that the forest carbon sink continues to increase and GHG emissions from the forest sectors decrease This criterion implicitly considers all forest carbon pools above and belowground as identified in LULUCF regulation Annex I section B Specifically a aboveground biomass b belowground biomass c litter d dead wood e soil organic carbon with the exclusion of f harvested wood products in the land accounting categories of afforested land and managed forest land which is beyond the scope of this Taxonomy However it recognises the challenges of belowground carbon measurement Therefore the specific criteria used in the tables focuses on the measurement of aboveground carbon pools only
218,64 FSCPEFC estimate that about 54 of forests globally are productive andor used for multiple purposes of which 20 are certified by FSC and PEFC See Data about Share Forest Certification FSCPEFC in Forest Management John Hontelez FSC International 30 April 2019
219, The forest Taxonomy acknowledges that setting a universal absolute threshold for carbon stocks is not a viable option given the variability of carbon sequestration is highly context specific The Taxonomy therefore requires evidence of a positive direction of travel in terms of maintaining andor increasing carbon stocks specifically the progressive increase of forest carbon stocks
